epoch,acc,loss,val_acc,val_loss
0,0.3356393060136642,0.033563925471145874,0.33563344708236703,0.030340874013476467
1,0.3354625945930798,0.029329368930861906,0.33585189479409966,0.028559991743402055
2,0.3341530163019029,0.02845955426186096,0.33561801997439883,0.02773889131517162
3,0.3355100671523797,0.027974899969614626,0.33592501679978887,0.027815929736346317
4,0.3347925423722174,0.027733890324419665,0.33498243293565383,0.027031876695625724
5,0.33492718109981584,0.027713466333560633,0.33434297921192113,0.02724569252433946
6,0.33539891498232327,0.027604319674068307,0.33658968740813083,0.030095961124047266
7,0.3352091777553945,0.02754648061356046,0.33512321436779646,0.031528983749681355
8,0.3351908608111812,0.027677087932157785,0.3365205677568541,0.02759152390996066
9,0.33450351047302845,0.02724125012927861,0.3372769526874227,0.02826391424096904
10,0.3348147350889861,0.027572705905337124,0.3360005728745696,0.028424978739536547
11,0.3355564403719362,0.027561632983948082,0.33668057695959586,0.02684998540991099
12,0.3348580118173307,0.02737966667502595,0.3374222775192028,0.02704294116830072
13,0.33532863235253907,0.027799971467374018,0.33528087022767505,0.037131842700638816
14,0.3349539937265153,0.027638930073439916,0.33559301912567946,0.02766508282682552
15,0.33420467114881297,0.027558084778479947,0.3360258846825157,0.027946732747769862
16,0.3340376492624528,0.027801001695825795,0.3362412081213198,0.02702213764753529
17,0.335742531308834,0.027474130454591506,0.3377207969881107,0.02809604751632809
18,0.3351329904025135,0.02755909838931949,0.3376440372113003,0.027010823586938258
19,0.33402168562370793,0.02765350724341894,0.3369848017860301,0.02681705301099477
20,0.3346375904954111,0.027707667814602502,0.33556535509671254,0.0272009167648554
21,0.3360402933620084,0.02751705481281698,0.33573217908556835,0.02670576502177342
22,0.3355380923855713,0.027369225155284924,0.33451592738847497,0.027604251311316327
23,0.3337560316322738,0.027929206680494863,0.3358139413179731,0.029433250396298717
24,0.3351410266267269,0.02737939844880538,0.3366520743496012,0.027356468169366783
25,0.3345416086745555,0.027157625036060104,0.3345200514163617,0.02692225066846312
26,0.33432596939522097,0.027295888673808128,0.33807258907539206,0.026955661370185895
27,0.33472391817294506,0.027939138055642677,0.3375383430196365,0.027215230038103302
28,0.33505928252045775,0.027324653431281896,0.3343927366997532,0.027742970985314988
29,0.3356401271603591,0.027153440322707622,0.3364022697630577,0.034305511439956055
30,0.3345872107912571,0.027265543054209685,0.33613748767394824,0.026762645507883185
31,0.33518510089730075,0.027444309693612556,0.3377918498832365,0.029123605061893043
32,0.3354703017577204,0.027104487857504436,0.33560329573934944,0.027490726415588213
33,0.335073538103285,0.02757635757481172,0.33564087066911585,0.027011749739608768
34,0.33607003551754067,0.027285617539435418,0.3372329281660441,0.026866412571431183
35,0.33424720444190087,0.027888696200052174,0.3365844416113905,0.0268362239232869
36,0.3351059032867796,0.02705709198451101,0.3354396357907994,0.027081145157385713
37,0.33588993873907524,0.027237730318027287,0.33539405630501073,0.0279853491082126
38,0.33624532745810026,0.0272457992943154,0.33619881919967176,0.027422190039406064
39,0.3343948819086229,0.028089823712736328,0.3366734237678016,0.029517995529186256
40,0.33391158779720076,0.027257159023003137,0.3385913266973456,0.027989721798259662
41,0.3351440555688449,0.027600559490684816,0.33705722102324787,0.027143460595670812
42,0.33509114732293366,0.027455611449404237,0.33556155595823983,0.027109633855084546
43,0.3343939670797098,0.02743714214940889,0.3358018933132925,0.027240216934875522
44,0.33495656749786146,0.02729288362628755,0.33470710287274846,0.026933251654773734
45,0.33491161394530344,0.027137236225597015,0.3363404259132076,0.02714592613558346
46,0.3352812543993654,0.027299561084390935,0.33447013143933574,0.02705031403375215
47,0.33584305639522183,0.027327095790159805,0.33601005094924696,0.027002483241256182
48,0.3349810000141524,0.027478998642822283,0.33654374352666944,0.02762419594304785
49,0.33574179223909145,0.02734031279535249,0.33625355344323726,0.02773597532605727
